Ticker,Setor,Empresa,RazaoSocial
AALR3,Serv.Méd.Hospit. Análises e Diagnósticos,ALLIAR,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.
ABCB4,Intermediários Financeiros,ABC BRASIL,BCO ABC BRASIL S.A.
ABEV3,Bebidas,AMBEV S/A,AMBEV S.A.
AERI3,Máquinas e Equipamentos,AERIS,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A
AGRO3,Agropecuária,BRASILAGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
AGXY3,Agropecuária,AGROGALAXY,AGROGALAXY PARTICIPAÇÕES S.A.
ALLD3,Comércio,ALLIED,ALLIED TECNOLOGIA S.A.
ALOS3,Exploração de Imóveis,ALLOS,ALLOS S.A
ALPA3,"Tecidos, Vestuário e Calçados",ALPARGATAS,ALPARGATAS S.A.
ALPA4,"Tecidos, Vestuário e Calçados",ALPARGATAS,ALPARGATAS S.A.
ALPK3,Serviços Diversos,ESTAPAR,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
ALUP11,Energia Elétrica,ALUPAR,ALUPAR INVESTIMENTO S/A
ALUP3,Energia Elétrica,ALUPAR,ALUPAR INVESTIMENTO S/A
ALUP4,Energia Elétrica,ALUPAR,ALUPAR INVESTIMENTO S/A
AMAR3,Comércio,LOJAS MARISA,MARISA LOJAS S.A.
AMBP3,Água e Saneamento,AMBIPAR,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
AMER3,Comércio,AMERICANAS,AMERICANAS S.A
AMOB3,Automóveis e Motocicletas,AUTOMOB,AUTOMOB PARTICIPAÇÕES S.A.
ANIM3,Diversos,ANIMA,ANIMA HOLDING S.A.
ARML3,Diversos,ARMAC,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A."
ASAI3,Comércio e Distribuição,ASSAI,SENDAS DISTRIBUIDORA S.A.
ATED3,Diversos,ATOM EDUC,ATOM EDUCAÇÃO E EDITORA S.A.
AUAU3,Comércio,PETZCOBASI,UNIÃO PET PARTICIPAÇÕES S.A.
AURE3,Energia Elétrica,AUREN,AUREN ENERGIA S.A.
AVLL3,Construção Civil,ALPHAVILLE,ALPHAVILLE S.A.
AXIA3,Energia Elétrica,AXIA ENERGIA,AXIA ENERGIA S.A.
AXIA6,Energia Elétrica,AXIA ENERGIA,AXIA ENERGIA S.A.
AZEV3,Construção e Engenharia,AZEVEDO,AZEVEDO E TRAVASSOS S.A.
AZEV4,Construção e Engenharia,AZEVEDO,AZEVEDO E TRAVASSOS S.A.
AZTE3,"Petróleo, Gás e Biocombustíveis",AZT ENERGIA,AZEVEDO & TRAVASSOS ENERGIA S.A.
AZUL3,Transporte,AZUL,AZUL S.A.
AZZA3,Comércio,AZZAS 2154,AZZAS 2154 S.A.
BALM3,Equipamentos,BAUMER,BAUMER S.A.
BALM4,Equipamentos,BAUMER,BAUMER S.A.
BAUH4,Alimentos Processados,EXCELSIOR,EXCELSIOR ALIMENTOS S.A.
BAZA3,Intermediários Financeiros,AMAZONIA,BCO AMAZONIA S.A.
BBAS3,Intermediários Financeiros,BRASIL,BCO BRASIL S.A.
BBDC3,Intermediários Financeiros,BRADESCO,BCO BRADESCO S.A.
BBDC4,Intermediários Financeiros,BRADESCO,BCO BRADESCO S.A.
BBSE3,Previdência e Seguros,BBSEGURIDADE,BB SEGURIDADE PARTICIPAÇÕES S.A.
BDLL3,Máquinas e Equipamentos,BARDELLA,BARDELLA S.A. INDUSTRIAS MECANICAS
BDLL4,Máquinas e Equipamentos,BARDELLA,BARDELLA S.A. INDUSTRIAS MECANICAS
BEEF3,Alimentos Processados,MINERVA,MINERVA S.A.
BEES3,Intermediários Financeiros,BANESTES,BANESTES S.A. - BCO EST ESPIRITO SANTO
BEES4,Intermediários Financeiros,BANESTES,BANESTES S.A. - BCO EST ESPIRITO SANTO
BGIP4,Intermediários Financeiros,BANESE,BCO ESTADO DE SERGIPE S.A. - BANESE
BHIA3,Comércio,CASAS BAHIA,GRUPO CASAS BAHIA S.A.
BIOM3,Medicamentos e Outros Produtos,BIOMM,BIOMM S.A.
BLAU3,Comércio e Distribuição,BLAU,BLAU FARMACÊUTICA S.A.
BMEB3,Intermediários Financeiros,MERCANTIL,BCO MERCANTIL DO BRASIL S.A.
BMEB4,Intermediários Financeiros,MERCANTIL,BCO MERCANTIL DO BRASIL S.A.
BMGB4,Intermediários Financeiros,BANCO BMG,BANCO BMG S.A.
BMIN4,Intermediários Financeiros,MERC INVEST,BCO MERCANTIL DE INVESTIMENTOS S.A.
BMKS3,Viagens e Lazer,BIC MONARK,BICICLETAS MONARK S.A.
BMOB3,Programas e Serviços,BEMOBI TECH,BEMOBI MOBILE TECH S.A.
BNBR3,Intermediários Financeiros,NORD BRASIL,BCO NORDESTE DO BRASIL S.A.
BOBR4,Produtos de Uso Pessoal e de Limpeza,BOMBRIL,BOMBRIL S.A.
BPAC11,Intermediários Financeiros,BTGP BANCO,BCO BTG PACTUAL S.A.
BPAC3,Intermediários Financeiros,BTGP BANCO,BCO BTG PACTUAL S.A.
BPAC5,Intermediários Financeiros,BTGP BANCO,BCO BTG PACTUAL S.A.
BRAP3,Mineração,BRADESPAR,BRADESPAR S.A.
BRAP4,Mineração,BRADESPAR,BRADESPAR S.A.
BRAV3,"Petróleo, Gás e Biocombustíveis",BRAVA,BRAVA ENERGIA S.A.
BRBI11,Intermediários Financeiros,BR PARTNERS,BRBI BR PARTNERS S.A.
BRKM3,Químicos,BRASKEM,BRASKEM S.A.
BRKM5,Químicos,BRASKEM,BRASKEM S.A.
BRSR3,Intermediários Financeiros,BANRISUL,BCO ESTADO DO RIO GRANDE DO SUL S.A.
